Brand,Model,Body_Type,Fuel,Transmission,Owner,Owner_No,Year,KM,Price,Seats,Engine_CC,Power,City
Hyundai,Hyundai Grand i10,Hatchback,Petrol,Manual,1st Owner,1,2018,58374.0,500000.0,5.0,1197.0,81.86bhp,Jaipur
Hyundai,Hyundai Grand i10,Hatchback,Petrol,Manual,2nd Owner,2,2014,31733.0,409000.0,5.0,1197.0,82bhp,Jaipur
Maruti,Maruti Baleno,Hatchback,Diesel,Manual,1st Owner,1,2019,49616.0,759000.0,5.0,1248.0,74bhp,Jaipur
Honda,Honda City,Sedan,Petrol,Manual,1st Owner,1,2018,70000.0,825000.0,5.0,1497.0,117.6bhp,Jaipur
Maruti,Maruti Ciaz,Sedan,Diesel,Manual,1st Owner,1,2016,68000.0,670000.0,5.0,1248.0,88.5bhp,Jaipur
Tata,Tata Indigo,Sedan,Diesel,Manual,1st Owner,1,2011,120000.0,200000.0,5.0,1396.0,70bhp,Jaipur
Ford,Ford Ecosport,SUV,Petrol,Manual,2nd Owner,2,2015,50000.0,600000.0,5.0,1499.0,110.4bhp,Jaipur
Hyundai,Hyundai Elantra,Sedan,Diesel,Manual,2nd Owner,2,2014,120000.0,600000.0,5.0,1582.0,126.24bhp,Jaipur
Mercedes-Benz,Mercedes-Benz GLS,SUV,Diesel,Automatic,1st Owner,1,2019,116544.0,5890000.0,7.0,2987.0,258bhp,Jaipur
Honda,Honda Jazz,Hatchback,Petrol,Manual,1st Owner,1,2010,49580.0,325000.0,5.0,1198.0,90(66) ,Jaipur
Mahindra,Mahindra XUV500,SUV,Diesel,Manual,2nd Owner,2,2017,56031.0,1195000.0,7.0,2179.0,140bhp,Jaipur
Kia,Kia Carens,MUV,Diesel,Automatic,1st Owner,1,2022,15285.0,1789999.9999999998,7.0,1493.0,114.41bhp,Jaipur
Tata,Tata Tiago,Hatchback,Petrol,Manual,1st Owner,1,2022,4437.0,590000.0,5.0,1199.0,84.82bhp,Jaipur
Maruti,Maruti Wagon R,Hatchback,Petrol,Manual,1st Owner,1,2018,24590.0,409999.99999999994,5.0,998.0,67.04bhp,Jaipur
Maruti,Maruti Baleno,Hatchback,Petrol,Manual,1st Owner,1,2022,20000.0,700000.0,5.0,1197.0,81.80bhp,Jaipur
Hyundai,Hyundai i20,Hatchback,Petrol,Manual,1st Owner,1,2013,70456.0,325000.0,5.0,1197.0,82.85bhp,Jaipur
Skoda,Skoda Slavia,Sedan,Petrol,Manual,1st Owner,1,2022,20000.0,1490000.0,5.0,999.0,113.98bhp,Jaipur
Hyundai,Hyundai i20,Hatchback,Petrol,Manual,1st Owner,1,2013,120000.0,311000.0,5.0,1197.0,82.85bhp,Jaipur
Hyundai,Hyundai Verna,Sedan,Diesel,Manual,2nd Owner,2,2016,50889.0,701000.0,5.0,1582.0,126.2bhp,Jaipur
Maruti,Maruti Swift,Hatchback,Petrol,Manual,1st Owner,1,2012,76043.0,371000.0,5.0,1197.0,88.50bhp,Jaipur
Mercedes-Benz,Mercedes-Benz GLC,SUV,Petrol,Automatic,1st Owner,1,2019,10200.0,5400000.0,5.0,1991.0,245bhp,Jaipur
Hyundai,Hyundai Grand i10,Hatchback,Petrol,Manual,1st Owner,1,2014,55890.0,349000.0,5.0,1197.0,82bhp,Jaipur
Honda,Honda Jazz,Hatchback,Petrol,Manual,2nd Owner,2,2016,81984.0,475000.0,5.0,1199.0,88.7bhp,Jaipur
Honda,Honda Brio,Hatchback,Petrol,Manual,2nd Owner,2,2014,70123.0,290000.0,5.0,1198.0,86.8bhp,Jaipur
Renault,Renault KWID,Hatchback,Petrol,Manual,1st Owner,1,2021,60000.0,445000.0,5.0,799.0,53.26bhp,Jaipur
Hyundai,Hyundai i10,Hatchback,Petrol,Manual,4th Owner,4,2010,100000.0,180000.0,5.0,1086.0,68.05bhp,Jaipur
Maruti,Maruti Alto,Hatchback,Petrol,Manual,3rd Owner,3,2010,110000.0,150000.0,5.0,796.0,46.3bhp,Jaipur
Maruti,Maruti Ciaz,Sedan,Petrol,Manual,1st Owner,1,2019,40000.0,690000.0,5.0,1462.0,103.25bhp,Jaipur
Toyota,Toyota Fortuner,SUV,Diesel,Manual,1st Owner,1,2018,90000.0,3000000.0,7.0,2755.0,174.5bhp,Jaipur
Renault,Renault KWID,Hatchback,Petrol,Manual,1st Owner,1,2017,50000.0,360000.0,5.0,999.0,67bhp,Jaipur
Maruti,Maruti Swift Dzire,Sedan,Petrol,Automatic,1st Owner,1,2020,50000.0,750000.0,5.0,1197.0,81.80bhp,Jaipur
Maruti,Maruti Swift Dzire,Sedan,Diesel,Manual,1st Owner,1,2013,56805.0,475000.0,5.0,1248.0,74bhp,Jaipur
Volkswagen,Volkswagen Polo,Hatchback,Diesel,Manual,2nd Owner,2,2016,120000.0,425000.0,5.0,1498.0,88bhp,Jaipur
Honda,Honda City,Sedan,Petrol,Manual,2nd Owner,2,2011,120000.0,320000.0,5.0,1497.0,"118PS at 6,600 rpm",Jaipur
Hyundai,Hyundai Grand i10,Hatchback,Diesel,Manual,2nd Owner,2,2019,90000.0,500000.0,5.0,1186.0,73.97bhp,Jaipur
Volkswagen,Volkswagen Vento,Sedan,Diesel,Manual,2nd Owner,2,2014,100000.0,434999.99999999994,5.0,1598.0,103.6bhp,Jaipur
Mercedes-Benz,Mercedes-Benz E-Class,Sedan,Diesel,Automatic,1st Owner,1,2015,70705.0,2750000.0,5.0,2143.0,204bhp,Jaipur
Maruti,Maruti Swift Dzire,Sedan,Diesel,Manual,1st Owner,1,2014,75000.0,525000.0,5.0,1248.0,73.9bhp,Jaipur
Datsun,Datsun RediGO,Hatchback,Petrol,Manual,1st Owner,1,2020,17587.0,362000.0,5.0,999.0,67.05bhp,Jaipur
Hyundai,Hyundai Santro,Hatchback,Petrol,Manual,2nd Owner,2,2019,27153.0,455000.0,5.0,1086.0,68bhp,Jaipur
Mahindra,Mahindra Thar,SUV,Diesel,Manual,2nd Owner,2,2011,90000.0,500000.0,6.0,2498.0,105bhp,Jaipur
Maruti,Maruti Swift Dzire,Sedan,Diesel,Manual,1st Owner,1,2012,104243.0,380000.0,5.0,1248.0,73.9bhp,Jaipur
Honda,Honda City,Sedan,Petrol,Automatic,1st Owner,1,2017,25791.0,851000.0,5.0,1497.0,117.3bhp,Jaipur
Toyota,Toyota Fortuner,SUV,Diesel,Manual,2nd Owner,2,2010,120000.0,815000.0,7.0,2982.0,171 PS ,Jaipur
Jaguar,Jaguar XF,Sedan,Diesel,Automatic,2nd Owner,2,2013,70000.0,1400000.0,5.0,2179.0,187.7bhp,Jaipur
Hyundai,Hyundai Venue,SUV,Petrol,Manual,1st Owner,1,2021,60000.0,690000.0,5.0,1197.0,81.86bhp,Jaipur
Maruti,Maruti Vitara Brezza,SUV,Petrol,Manual,1st Owner,1,2021,17580.0,890000.0,5.0,1462.0,103.26bhp,Jaipur
Mahindra,Mahindra XUV500,SUV,Diesel,Manual,2nd Owner,2,2012,120000.0,330000.0,7.0,2179.0,140bhp,Jaipur
Maruti,Maruti Vitara Brezza,SUV,Petrol,Manual,1st Owner,1,2020,39109.0,811000.0,5.0,1462.0,103.26bhp,Jaipur
Maruti,Maruti Vitara Brezza,SUV,Petrol,Manual,1st Owner,1,2022,20000.0,894999.9999999999,5.0,1462.0,103.26bhp,Jaipur
Honda,Honda WR-V,SUV,Diesel,Manual,1st Owner,1,2018,80000.0,650000.0,5.0,1498.0,98.6bhp,Jaipur
Maruti,Maruti Celerio,Hatchback,Petrol,Manual,1st Owner,1,2022,20000.0,590000.0,5.0,998.0,65.71bhp,Jaipur
Toyota,Toyota Innova,MUV,Diesel,Manual,2nd Owner,2,2007,120000.0,300000.0,8.0,2494.0,102,Jaipur
Maruti,Maruti Swift,Hatchback,Petrol,Manual,2nd Owner,2,2015,70000.0,445000.0,5.0,1197.0,81.80bhp,Jaipur
Honda,Honda City,Sedan,Petrol,Automatic,2nd Owner,2,2016,70000.0,650000.0,5.0,1497.0,117.3bhp,Jaipur
Maruti,Maruti Alto,Hatchback,Petrol,Manual,3rd Owner,3,2010,110000.0,150000.0,5.0,796.0,46.3bhp,Jaipur
Volkswagen,Volkswagen Polo,Hatchback,Petrol,Manual,1st Owner,1,2011,70000.0,300000.0,5.0,1198.0,73.9bhp,Jaipur
Jeep,Jeep Compass,SUV,Diesel,Manual,1st Owner,1,2019,9106.0,1889999.9999999998,5.0,1956.0,170bhp,Jaipur
Honda,Honda Amaze,Sedan,Petrol,Manual,1st Owner,1,2019,90239.0,579000.0,5.0,1199.0,88.76bhp,Jaipur
Hyundai,Hyundai EON,Hatchback,Petrol,Manual,2nd Owner,2,2014,31608.0,298000.0,5.0,998.0,68.05bhp,Jaipur
Honda,Honda Amaze,Sedan,Petrol,Manual,1st Owner,1,2019,58740.0,595000.0,5.0,1199.0,88.76bhp,Jaipur
Hyundai,Hyundai i20,Hatchback,Petrol,Manual,2nd Owner,2,2018,73398.0,544000.0,5.0,1197.0,81.83bhp,Jaipur
Maruti,Maruti Ciaz,Sedan,Petrol,Automatic,1st Owner,1,2019,29393.0,894999.9999999999,5.0,1462.0,103.25bhp,Jaipur
Volkswagen,Volkswagen Polo,Hatchback,Diesel,Manual,2nd Owner,2,2016,100000.0,425000.0,5.0,1498.0,88bhp,Jaipur
Honda,Honda New Accord,Sedan,Petrol,Manual,2nd Owner,2,2008,150000.0,244000.0,5.0,2354.0,177.6bhp,Jaipur
Toyota,Toyota Fortuner,SUV,Diesel,Manual,1st Owner,1,2013,150000.0,1555000.0,7.0,2982.0,168.5bhp,Jaipur
Audi,Audi A6,Sedan,Diesel,Automatic,2nd Owner,2,2013,40000.0,1450000.0,5.0,1968.0,174.33bhp,Jaipur
Renault,Renault KWID,Hatchback,Petrol,Automatic,2nd Owner,2,2019,30000.0,370000.0,5.0,999.0,67bhp,Jaipur
Kia,Kia Seltos,SUV,Diesel,Automatic,1st Owner,1,2019,44354.0,1525000.0,5.0,1493.0,113.43bhp,Jaipur
Renault,Renault KWID,Hatchback,Petrol,Manual,2nd Owner,2,2016,65000.0,290000.0,5.0,999.0,67bhp,Jaipur
Maruti,Maruti Swift,Hatchback,Diesel,Manual,1st Owner,1,2016,79700.0,525000.0,5.0,1248.0,74bhp,Jaipur
Toyota,Toyota Innova,MUV,Diesel,Manual,2nd Owner,2,2007,120000.0,285000.0,8.0,2494.0,102,Jaipur
